Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,5028,-,-,-,-,-,-,-,-,0,-,-,0,0,153,243,224,185,195,203,197,237,218,211,175,199,155,153,171,161,139,181,206,176,157,160,180,213,223,275,38,2020,Metropolitano Occidente,SAPU,SAPU Lo Franco
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,11718,391,606,573,554,529,489,452,500,511,504,640,566,266,262,243,224,185,195,203,197,237,218,211,175,199,155,153,171,161,139,181,206,176,157,160,180,213,223,275,38,2020,Metropolitano Occidente,SAPU,SAPU Lo Franco
TOTAL CAUSAS SISTEMA RESPIRATORIO,2261,82,150,128,102,110,98,83,111,129,145,236,306,121,77,62,40,32,23,11,15,12,12,5,10,12,6,8,7,4,10,11,10,8,5,9,19,17,14,17,4,2020,Metropolitano Occidente,SAPU,SAPU Lo Franco
IRA Alta (J00-J06),1869,63,128,108,91,88,85,70,91,108,118,200,263,85,62,53,34,30,19,9,11,10,11,2,7,9,5,4,5,3,6,11,9,6,4,7,13,14,11,14,2,2020,Metropolitano Occidente,SAPU,SAPU Lo Franco
Influenza (J09-J11),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Metropolitano Occidente,SAPU,SAPU Lo Franco
Neumonía (J12-J18),68,6,6,5,0,3,2,2,3,7,6,7,2,1,1,1,3,0,1,1,1,0,0,1,0,0,0,2,0,0,0,0,1,0,0,1,2,0,1,1,1,2020,Metropolitano Occidente,SAPU,SAPU Lo Franco
Bronquitis/bronquiolitis aguda (J20-J21),197,6,14,8,7,16,7,10,12,11,16,20,25,18,6,2,2,1,2,0,1,0,0,1,1,1,0,0,0,0,2,0,0,1,0,1,3,1,2,0,0,2020,Metropolitano Occidente,SAPU,SAPU Lo Franco
Crisis obstructiva bronquial (J40-J46),84,7,1,6,4,2,4,1,3,3,3,5,8,5,2,0,1,1,1,1,2,2,1,1,2,2,1,2,2,1,2,0,0,1,1,0,1,2,0,2,1,2020,Metropolitano Occidente,SAPU,SAPU Lo Franco
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",43,0,1,1,0,1,0,0,2,0,2,4,8,12,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Metropolitano Occidente,SAPU,SAPU Lo Franco
COVID 19 Sospechoso (U072),1742,-,-,-,-,-,0,0,0,0,0,3,8,12,12,22,14,27,57,90,129,157,144,144,94,116,87,65,81,42,29,52,49,38,58,29,40,56,45,39,3,2020,Metropolitano Occidente,SAPU,SAPU Lo Franco
COVID 19 Confirmado (U071),0,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Metropolitano Occidente,SAPU,SAPU Lo Franco
TOTAL CAUSAS SISTEMA CIRCULATORIO,372,11,21,5,11,11,13,18,10,12,19,11,9,13,12,13,9,13,10,7,4,3,5,2,5,5,3,6,7,15,7,7,6,8,9,8,14,7,6,13,4,2020,Metropolitano Occidente,SAPU,SAPU Lo Franco
Infarto agudo miocardio,21,0,1,0,0,1,0,1,0,1,3,0,0,0,1,0,0,3,1,0,1,1,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2020,Metropolitano Occidente,SAPU,SAPU Lo Franco
Accidente vascular encefálico,35,2,6,0,2,2,1,3,0,0,2,1,0,2,1,0,1,1,0,1,0,1,0,0,0,1,0,0,2,0,0,0,0,2,1,2,0,1,0,0,0,2020,Metropolitano Occidente,SAPU,SAPU Lo Franco
Crisis hipertensiva,275,6,11,3,7,7,10,11,9,6,13,9,8,10,10,11,6,9,7,5,2,1,5,2,3,1,3,5,4,13,7,7,6,6,6,6,13,6,6,12,3,2020,Metropolitano Occidente,SAPU,SAPU Lo Franco
Arritmia grave,23,3,3,2,0,0,1,3,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,2020,Metropolitano Occidente,SAPU,SAPU Lo Franco
Otras causas circulatorias,18,0,0,0,2,1,1,0,0,3,0,1,0,1,0,2,1,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2020,Metropolitano Occidente,SAPU,SAPU Lo Franco
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,1454,56,48,70,85,69,79,46,74,70,59,88,33,22,26,33,33,29,27,21,9,22,12,12,16,24,7,24,21,20,24,30,46,22,21,27,28,30,44,40,7,2020,Metropolitano Occidente,SAPU,SAPU Lo Franco
Accidentes del tránsito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Metropolitano Occidente,SAPU,SAPU Lo Franco
Otras causas externas,1454,56,48,70,85,69,79,46,74,70,59,88,33,22,26,33,33,29,27,21,9,22,12,12,16,24,7,24,21,20,24,30,46,22,21,27,28,30,44,40,7,2020,Metropolitano Occidente,SAPU,SAPU Lo Franco
DIARREA AGUDA (A00-A09),773,54,64,81,75,57,58,41,41,50,44,51,30,5,8,7,9,4,5,6,3,2,2,2,6,3,3,1,2,3,4,3,2,4,4,5,5,5,11,12,1,2020,Metropolitano Occidente,SAPU,SAPU Lo Franco
TOTAL DEMÁS CAUSAS,5143,188,323,289,281,282,241,264,264,250,237,254,188,105,131,106,119,80,73,68,37,41,43,46,44,39,49,49,53,77,65,78,93,96,60,82,74,98,103,154,19,2020,Metropolitano Occidente,SAPU,SAPU Lo Franco
